evTimes	evNumSegs	evMags	evAreas	evSlips	evYearPred1	aveLastEvTime1	evYearPred2	aveLastEvTime2
435	3	7.0766687	4.56984E8	3.3727226	432.5301059428047	292.0	428.5057647815168	292.0
436	2	6.984765	3.47692992E8	3.227235	NaN	NaN	NaN	NaN
436	1	6.6729727	1.34906E8	2.83339	370.44633333333337	276.0	423.3553333333333	276.0
436	1	6.8751674	2.21984E8	3.46185	NaN	NaN	NaN	NaN
440	1	6.4989624	1.5729E8	1.33236	437.824	349.0	435.832	349.0
441	1	6.544603	1.46578E8	1.67384	NaN	NaN	NaN	NaN
441	2	6.806336	2.52098E8	2.40333	447.13875	347.0	438.2735416666667	347.0
441	1	6.39755	1.66872E8	0.884749	NaN	NaN	NaN	NaN
441	2	6.533865	2.76737984E8	0.8542945	NaN	NaN	NaN	NaN
445	5	7.0215583	7.86432E8	1.6201494	449.60995219167074	341.59999720255536	422.21197486792676	341.59999720255536
445	1	6.293977	1.42438E8	0.7248	NaN	NaN	NaN	NaN
445	1	6.461298	1.58046E8	1.16424	NaN	NaN	NaN	NaN
446	7	7.5944858	1.11175104E9	8.290868	NaN	NaN	NaN	NaN
446	1	6.789226	1.56364E8	3.65242	NaN	NaN	NaN	NaN
447	5	7.2342734	6.6855098E8	3.9733262	437.6638635838003	300.2227346569921	447.5841663418348	302.79597218462015
447	1	6.3555837	1.31883E8	0.968423	NaN	NaN	NaN	NaN
453	2	6.608481	2.55546E8	1.1971024	447.8840993214529	400.0	454.833185494588	400.0
453	1	6.671987	1.83676992E8	2.07398	467.796	53.0	484.636	53.0
463	1	6.6783924	1.34899008E8	2.88708	372.23600000000005	276.0	442.53666666666663	276.0
468	1	6.5262265	1.2668E8	1.81765	450.47083333333336	299.0	462.1333333333333	299.0
470	1	6.5191174	1.58055008E8	1.4215	NaN	NaN	NaN	NaN
470	1	6.73314	1.85226E8	2.54031	476.84625	371.0	475.6958333333333	371.0
470	1	6.30237	1.43536E8	0.740411	NaN	NaN	NaN	NaN
470	2	6.5945673	2.53900992E8	1.148327	NaN	NaN	NaN	NaN
